Freq.	V(vo)/V(vi)
5.00000000000000e-001	3.10844785309842e+001,-2.01538611257633e-005
5.01152619038950e-001	3.10844785309842e+001,-2.02003205738471e-005
5.02307895139197e-001	3.10844785309841e+001,-2.02468871220197e-005
5.03465834425902e-001	3.10844785309841e+001,-2.02935610171722e-005
5.04626443038342e-001	3.10844785309840e+001,-2.03403425067652e-005
5.05789727129949e-001	3.10844785309839e+001,-2.03872318388293e-005
5.06955692868340e-001	3.10844785309839e+001,-2.04342292619670e-005
5.08124346435348e-001	3.10844785309838e+001,-2.04813350253542e-005
5.09295694027058e-001	3.10844785309838e+001,-2.05285493787409e-005
5.10469741853840e-001	3.10844785309837e+001,-2.05758725724528e-005
5.11646496140377e-001	3.10844785309836e+001,-2.06233048573927e-005
5.12825963125704e-001	3.10844785309836e+001,-2.06708464850421e-005
5.14008149063237e-001	3.10844785309835e+001,-2.07184977074618e-005
5.15193060220808e-001	3.10844785309835e+001,-2.07662587772939e-005
5.16380702880698e-001	3.10844785309834e+001,-2.08141299477628e-005
5.17571083339672e-001	3.10844785309833e+001,-2.08621114726767e-005
5.18764207909006e-001	3.10844785309833e+001,-2.09102036064288e-005
5.19960082914529e-001	3.10844785309832e+001,-2.09584066039990e-005
5.21158714696652e-001	3.10844785309832e+001,-2.10067207209546e-005
5.22360109610400e-001	3.10844785309831e+001,-2.10551462134523e-005
5.23564274025449e-001	3.10844785309830e+001,-2.11036833382392e-005
5.24771214326161e-001	3.10844785309830e+001,-2.11523323526544e-005
5.25980936911611e-001	3.10844785309829e+001,-2.12010935146301e-005
5.27193448195629e-001	3.10844785309828e+001,-2.12499670826931e-005
5.28408754606829e-001	3.10844785309828e+001,-2.12989533159662e-005
5.29626862588644e-001	3.10844785309827e+001,-2.13480524741696e-005
5.30847778599362e-001	3.10844785309827e+001,-2.13972648176220e-005
5.32071509112157e-001	3.10844785309826e+001,-2.14465906072424e-005
5.33298060615128e-001	3.10844785309825e+001,-2.14960301045513e-005
5.34527439611328e-001	3.10844785309824e+001,-2.15455835716719e-005
5.35759652618803e-001	3.10844785309824e+001,-2.15952512713319e-005
5.36994706170622e-001	3.10844785309823e+001,-2.16450334668643e-005
5.38232606814917e-001	3.10844785309823e+001,-2.16949304222095e-005
5.39473361114914e-001	3.10844785309822e+001,-2.17449424019161e-005
5.40716975648968e-001	3.10844785309821e+001,-2.17950696711427e-005
5.41963457010601e-001	3.10844785309821e+001,-2.18453124956591e-005
5.43212811808532e-001	3.10844785309820e+001,-2.18956711418476e-005
5.44465046666716e-001	3.10844785309819e+001,-2.19461458767049e-005
5.45720168224378e-001	3.10844785309818e+001,-2.19967369678430e-005
5.46978183136046e-001	3.10844785309818e+001,-2.20474446834908e-005
5.48239098071592e-001	3.10844785309817e+001,-2.20982692924955e-005
5.49502919716260e-001	3.10844785309816e+001,-2.21492110643242e-005
5.50769654770707e-001	3.10844785309816e+001,-2.22002702690651e-005
5.52039309951036e-001	3.10844785309815e+001,-2.22514471774289e-005
5.53311891988832e-001	3.10844785309814e+001,-2.23027420607506e-005
5.54587407631200e-001	3.10844785309814e+001,-2.23541551909907e-005
5.55865863640795e-001	3.10844785309813e+001,-2.24056868407361e-005
5.57147266795864e-001	3.10844785309812e+001,-2.24573372832028e-005
5.58431623890280e-001	3.10844785309811e+001,-2.25091067922363e-005
5.59718941733575e-001	3.10844785309811e+001,-2.25609956423132e-005
5.61009227150981e-001	3.10844785309810e+001,-2.26130041085431e-005
5.62302486983462e-001	3.10844785309809e+001,-2.26651324666698e-005
5.63598728087754e-001	3.10844785309809e+001,-2.27173809930726e-005
5.64897957336398e-001	3.10844785309808e+001,-2.27697499647679e-005
5.66200181617778e-001	3.10844785309807e+001,-2.28222396594109e-005
5.67505407836157e-001	3.10844785309806e+001,-2.28748503552966e-005
5.68813642911714e-001	3.10844785309806e+001,-2.29275823313619e-005
5.70124893780583e-001	3.10844785309805e+001,-2.29804358671863e-005
5.71439167394885e-001	3.10844785309804e+001,-2.30334112429940e-005
5.72756470722767e-001	3.10844785309803e+001,-2.30865087396552e-005
5.74076810748440e-001	3.10844785309803e+001,-2.31397286386876e-005
5.75400194472217e-001	3.10844785309802e+001,-2.31930712222577e-005
5.76726628910545e-001	3.10844785309801e+001,-2.32465367731826e-005
5.78056121096048e-001	3.10844785309800e+001,-2.33001255749314e-005
5.79388678077562e-001	3.10844785309800e+001,-2.33538379116265e-005
5.80724306920170e-001	3.10844785309799e+001,-2.34076740680454e-005
5.82063014705244e-001	3.10844785309798e+001,-2.34616343296221e-005
5.83404808530480e-001	3.10844785309797e+001,-2.35157189824484e-005
5.84749695509934e-001	3.10844785309796e+001,-2.35699283132759e-005
5.86097682774064e-001	3.10844785309796e+001,-2.36242626095170e-005
5.87448777469763e-001	3.10844785309795e+001,-2.36787221592467e-005
5.88802986760402e-001	3.10844785309794e+001,-2.37333072512041e-005
5.90160317825863e-001	3.10844785309793e+001,-2.37880181747941e-005
5.91520777862581e-001	3.10844785309793e+001,-2.38428552200883e-005
5.92884374083578e-001	3.10844785309792e+001,-2.38978186778274e-005
5.94251113718508e-001	3.10844785309791e+001,-2.39529088394222e-005
5.95621004013686e-001	3.10844785309790e+001,-2.40081259969553e-005
5.96994052232135e-001	3.10844785309789e+001,-2.40634704431824e-005
5.98370265653620e-001	3.10844785309788e+001,-2.41189424715344e-005
5.99749651574688e-001	3.10844785309788e+001,-2.41745423761184e-005
6.01132217308705e-001	3.10844785309787e+001,-2.42302704517196e-005
6.02517970185897e-001	3.10844785309786e+001,-2.42861269938026e-005
6.03906917553388e-001	3.10844785309785e+001,-2.43421122985134e-005
6.05299066775239e-001	3.10844785309784e+001,-2.43982266626803e-005
6.06694425232487e-001	3.10844785309784e+001,-2.44544703838163e-005
6.08093000323182e-001	3.10844785309783e+001,-2.45108437601199e-005
6.09494799462431e-001	3.10844785309782e+001,-2.45673470904771e-005
6.10899830082434e-001	3.10844785309781e+001,-2.46239806744630e-005
6.12308099632522e-001	3.10844785309780e+001,-2.46807448123432e-005
6.13719615579201e-001	3.10844785309779e+001,-2.47376398050754e-005
6.15134385406188e-001	3.10844785309778e+001,-2.47946659543114e-005
6.16552416614452e-001	3.10844785309778e+001,-2.48518235623980e-005
6.17973716722253e-001	3.10844785309777e+001,-2.49091129323792e-005
6.19398293265182e-001	3.10844785309776e+001,-2.49665343679975e-005
6.20826153796203e-001	3.10844785309775e+001,-2.50240881736958e-005
6.22257305885690e-001	3.10844785309774e+001,-2.50817746546185e-005
6.23691757121469e-001	3.10844785309773e+001,-2.51395941166135e-005
6.25129515108857e-001	3.10844785309772e+001,-2.51975468662340e-005
6.26570587470705e-001	3.10844785309771e+001,-2.52556332107396e-005
6.28014981847435e-001	3.10844785309770e+001,-2.53138534580984e-005
6.29462705897081e-001	3.10844785309770e+001,-2.53722079169883e-005
6.30913767295332e-001	3.10844785309769e+001,-2.54306968967989e-005
6.32368173735573e-001	3.10844785309768e+001,-2.54893207076328e-005
6.33825932928920e-001	3.10844785309767e+001,-2.55480796603078e-005
6.35287052604268e-001	3.10844785309766e+001,-2.56069740663579e-005
6.36751540508328e-001	3.10844785309765e+001,-2.56660042380354e-005
6.38219404405669e-001	3.10844785309764e+001,-2.57251704883124e-005
6.39690652078759e-001	3.10844785309763e+001,-2.57844731308824e-005
6.41165291328008e-001	3.10844785309762e+001,-2.58439124801622e-005
6.42643329971805e-001	3.10844785309761e+001,-2.59034888512933e-005
6.44124775846564e-001	3.10844785309760e+001,-2.59632025601437e-005
6.45609636806764e-001	3.10844785309759e+001,-2.60230539233095e-005
6.47097920724990e-001	3.10844785309758e+001,-2.60830432581166e-005
6.48589635491975e-001	3.10844785309757e+001,-2.61431708826227e-005
6.50084789016642e-001	3.10844785309757e+001,-2.62034371156183e-005
6.51583389226146e-001	3.10844785309756e+001,-2.62638422766290e-005
6.53085444065917e-001	3.10844785309755e+001,-2.63243866859169e-005
6.54590961499700e-001	3.10844785309754e+001,-2.63850706644826e-005
6.56099949509598e-001	3.10844785309753e+001,-2.64458945340663e-005
6.57612416096115e-001	3.10844785309752e+001,-2.65068586171503e-005
6.59128369278200e-001	3.10844785309751e+001,-2.65679632369599e-005
6.60647817093284e-001	3.10844785309749e+001,-2.66292087174659e-005
6.62170767597328e-001	3.10844785309748e+001,-2.66905953833857e-005
6.63697228864866e-001	3.10844785309747e+001,-2.67521235601852e-005
6.65227208989042e-001	3.10844785309747e+001,-2.68137935740807e-005
6.66760716081658e-001	3.10844785309746e+001,-2.68756057520406e-005
6.68297758273217e-001	3.10844785309745e+001,-2.69375604217867e-005
6.69838343712963e-001	3.10844785309744e+001,-2.69996579117967e-005
6.71382480568928e-001	3.10844785309742e+001,-2.70618985513051e-005
6.72930177027970e-001	3.10844785309741e+001,-2.71242826703058e-005
6.74481441295822e-001	3.10844785309740e+001,-2.71868105995530e-005
6.76036281597134e-001	3.10844785309739e+001,-2.72494826705636e-005
6.77594706175514e-001	3.10844785309738e+001,-2.73122992156188e-005
6.79156723293573e-001	3.10844785309737e+001,-2.73752605677655e-005
6.80722341232970e-001	3.10844785309736e+001,-2.74383670608187e-005
6.82291568294458e-001	3.10844785309735e+001,-2.75016190293626e-005
6.83864412797920e-001	3.10844785309734e+001,-2.75650168087528e-005
6.85440883082422e-001	3.10844785309733e+001,-2.76285607351182e-005
6.87020987506253e-001	3.10844785309732e+001,-2.76922511453623e-005
6.88604734446968e-001	3.10844785309731e+001,-2.77560883771653e-005
6.90192132301438e-001	3.10844785309730e+001,-2.78200727689858e-005
6.91783189485886e-001	3.10844785309729e+001,-2.78842046600627e-005
6.93377914435939e-001	3.10844785309727e+001,-2.79484843904169e-005
6.94976315606672e-001	3.10844785309726e+001,-2.80129123008532e-005
6.96578401472647e-001	3.10844785309725e+001,-2.80774887329619e-005
6.98184180527964e-001	3.10844785309724e+001,-2.81422140291208e-005
6.99793661286304e-001	3.10844785309723e+001,-2.82070885324970e-005
7.01406852280974e-001	3.10844785309722e+001,-2.82721125870487e-005
7.03023762064952e-001	3.10844785309721e+001,-2.83372865375270e-005
7.04644399210932e-001	3.10844785309720e+001,-2.84026107294775e-005
7.06268772311372e-001	3.10844785309718e+001,-2.84680855092428e-005
7.07896889978536e-001	3.10844785309717e+001,-2.85337112239635e-005
7.09528760844541e-001	3.10844785309716e+001,-2.85994882215807e-005
7.11164393561404e-001	3.10844785309715e+001,-2.86654168508374e-005
7.12803796801089e-001	3.10844785309714e+001,-2.87314974612807e-005
7.14446979255546e-001	3.10844785309713e+001,-2.87977304032634e-005
7.16093949636766e-001	3.10844785309712e+001,-2.88641160279460e-005
7.17744716676822e-001	3.10844785309711e+001,-2.89306546872984e-005
7.19399289127917e-001	3.10844785309709e+001,-2.89973467341021e-005
7.21057675762429e-001	3.10844785309708e+001,-2.90641925219515e-005
7.22719885372958e-001	3.10844785309707e+001,-2.91311924052564e-005
7.24385926772375e-001	3.10844785309706e+001,-2.91983467392435e-005
7.26055808793865e-001	3.10844785309704e+001,-2.92656558799584e-005
7.27729540290977e-001	3.10844785309703e+001,-2.93331201842674e-005
7.29407130137668e-001	3.10844785309702e+001,-2.94007400098598e-005
7.31088587228353e-001	3.10844785309701e+001,-2.94685157152488e-005
7.32773920477950e-001	3.10844785309699e+001,-2.95364476597746e-005
7.34463138821927e-001	3.10844785309698e+001,-2.96045362036057e-005
7.36156251216353e-001	3.10844785309697e+001,-2.96727817077407e-005
7.37853266637941e-001	3.10844785309696e+001,-2.97411845340105e-005
7.39554194084097e-001	3.10844785309695e+001,-2.98097450450801e-005
7.41259042572970e-001	3.10844785309693e+001,-2.98784636044503e-005
7.42967821143497e-001	3.10844785309692e+001,-2.99473405764603e-005
7.44680538855451e-001	3.10844785309691e+001,-3.00163763262889e-005
7.46397204789491e-001	3.10844785309690e+001,-3.00855712199567e-005
7.48117828047210e-001	3.10844785309688e+001,-3.01549256243282e-005
7.49842417751180e-001	3.10844785309687e+001,-3.02244399071135e-005
7.51570983045004e-001	3.10844785309686e+001,-3.02941144368704e-005
7.53303533093364e-001	3.10844785309684e+001,-3.03639495830064e-005
7.55040077082067e-001	3.10844785309683e+001,-3.04339457157805e-005
7.56780624218097e-001	3.10844785309682e+001,-3.05041032063051e-005
7.58525183729661e-001	3.10844785309680e+001,-3.05744224265484e-005
7.60273764866241e-001	3.10844785309679e+001,-3.06449037493357e-005
7.62026376898638e-001	3.10844785309678e+001,-3.07155475483521e-005
7.63783029119029e-001	3.10844785309676e+001,-3.07863541981440e-005
7.65543730841008e-001	3.10844785309675e+001,-3.08573240741211e-005
7.67308491399640e-001	3.10844785309674e+001,-3.09284575525587e-005
7.69077320151510e-001	3.10844785309672e+001,-3.09997550105995e-005
7.70850226474772e-001	3.10844785309671e+001,-3.10712168262554e-005
7.72627219769199e-001	3.10844785309670e+001,-3.11428433784098e-005
7.74408309456233e-001	3.10844785309668e+001,-3.12146350468196e-005
7.76193504979033e-001	3.10844785309667e+001,-3.12865922121172e-005
7.77982815802529e-001	3.10844785309666e+001,-3.13587152558121e-005
7.79776251413469e-001	3.10844785309664e+001,-3.14310045602937e-005
7.81573821320469e-001	3.10844785309663e+001,-3.15034605088326e-005
7.83375535054067e-001	3.10844785309661e+001,-3.15760834855830e-005
