Freq.	V(vo)/V(vi)
1.00000000000000e+003	3.10844291907628e+001,-4.03076621041491e-002
1.00230523807790e+003	3.10844289630177e+001,-4.04005805833918e-002
1.00461579027840e+003	3.10844287342273e+001,-4.04937132599370e-002
1.00693166885180e+003	3.10844285043867e+001,-4.05870606275474e-002
1.00925288607668e+003	3.10844282734679e+001,-4.06806231810635e-002
1.01157945425990e+003	3.10844280414890e+001,-4.07744014165863e-002
1.01391138573668e+003	3.10844278084569e+001,-4.08683958313305e-002
1.01624869287070e+003	3.10844275743307e+001,-4.09626069235360e-002
1.01859138805412e+003	3.10844273391302e+001,-4.10570351927434e-002
1.02093948370768e+003	3.10844271028379e+001,-4.11516811395525e-002
1.02329299228075e+003	3.10844268654372e+001,-4.12465452657175e-002
1.02565192625141e+003	3.10844266269581e+001,-4.13416280742709e-002
1.02801629812647e+003	3.10844263873838e+001,-4.14369300692827e-002
1.03038612044162e+003	3.10844261467207e+001,-4.15324517560462e-002
1.03276140576140e+003	3.10844259049289e+001,-4.16281936408969e-002
1.03514216667934e+003	3.10844256620032e+001,-4.17241562314293e-002
1.03752841581801e+003	3.10844254179738e+001,-4.18203400365003e-002
1.03992016582906e+003	3.10844251728114e+001,-4.19167455659850e-002
1.04231742939330e+003	3.10844249265349e+001,-4.20133733310584e-002
1.04472021922080e+003	3.10844246791027e+001,-4.21102238439174e-002
1.04712854805090e+003	3.10844244304991e+001,-4.22072976180383e-002
1.04954242865232e+003	3.10844241808121e+001,-4.23045951682557e-002
1.05196187382322e+003	3.10844239299309e+001,-4.24021170101655e-002
1.05438689639126e+003	3.10844236778970e+001,-4.24998636609225e-002
1.05681750921366e+003	3.10844234247284e+001,-4.25978356388122e-002
1.05925372517729e+003	3.10844231703617e+001,-4.26960334630952e-002
1.06169555719872e+003	3.10844229148138e+001,-4.27944576544471e-002
1.06414301822431e+003	3.10844226581033e+001,-4.28931087347453e-002
1.06659612123026e+003	3.10844224002133e+001,-4.29919872269765e-002
1.06905487922266e+003	3.10844221411147e+001,-4.30910936552989e-002
1.07151930523761e+003	3.10844218808367e+001,-4.31904285452386e-002
1.07398941234124e+003	3.10844216193741e+001,-4.32899924234378e-002
1.07646521362983e+003	3.10844213566628e+001,-4.33897858175935e-002
1.07894672222983e+003	3.10844210927792e+001,-4.34898092570015e-002
1.08143395129794e+003	3.10844208276472e+001,-4.35900632717619e-002
1.08392691402120e+003	3.10844205613197e+001,-4.36905483935496e-002
1.08642562361706e+003	3.10844202937089e+001,-4.37912651549148e-002
1.08893009333343e+003	3.10844200248917e+001,-4.38922140899793e-002
1.09144033644875e+003	3.10844197548499e+001,-4.39933957339446e-002
1.09395636627209e+003	3.10844194835434e+001,-4.40948106231467e-002
1.09647819614318e+003	3.10844192109776e+001,-4.41964592952858e-002
1.09900583943252e+003	3.10844189371932e+001,-4.42983422893997e-002
1.10153930954141e+003	3.10844186621150e+001,-4.44004601454439e-002
1.10407861990207e+003	3.10844183857831e+001,-4.45028134049435e-002
1.10662378397766e+003	3.10844181081684e+001,-4.46054026104759e-002
1.10917481526240e+003	3.10844178292540e+001,-4.47082283059032e-002
1.11173172728159e+003	3.10844175490800e+001,-4.48112910365034e-002
1.11429453359173e+003	3.10844172615814e+001,-4.49145913410291e-002
1.11686324778056e+003	3.10844169787887e+001,-4.50181297821996e-002
1.11943788346715e+003	3.10844166947067e+001,-4.51219069015039e-002
1.12201845430196e+003	3.10844164093184e+001,-4.52259232491011e-002
1.12460497396692e+003	3.10844161226054e+001,-4.53301793764171e-002
1.12719745617551e+003	3.10844158345617e+001,-4.54346758361818e-002
1.12979591467279e+003	3.10844155452155e+001,-4.55394131824999e-002
1.13240036323555e+003	3.10844152545035e+001,-4.56443919704867e-002
1.13501081567231e+003	3.10844149624304e+001,-4.57496127567734e-002
1.13762728582343e+003	3.10844146690601e+001,-4.58550760993316e-002
1.14024978756117e+003	3.10844143743165e+001,-4.59607825571272e-002
1.14287833478977e+003	3.10844140782052e+001,-4.60667326906130e-002
1.14551294144553e+003	3.10844137807428e+001,-4.61729270615672e-002
1.14815362149688e+003	3.10844134818878e+001,-4.62793662328930e-002
1.15080038894443e+003	3.10844131816573e+001,-4.63860507689619e-002
1.15345325782109e+003	3.10844128800571e+001,-4.64929812354124e-002
1.15611224219210e+003	3.10844125770688e+001,-4.66001581991179e-002
1.15877735615512e+003	3.10844122726504e+001,-4.67075822281895e-002
1.16144861384034e+003	3.10844119668428e+001,-4.68152538922890e-002
1.16412602941049e+003	3.10844116596275e+001,-4.69231737622183e-002
1.16680961706096e+003	3.10844113509978e+001,-4.70313424101304e-002
1.16949939101987e+003	3.10844110409354e+001,-4.71397604094618e-002
1.17219536554813e+003	3.10844107294578e+001,-4.72484283350761e-002
1.17489755493953e+003	3.10844104164989e+001,-4.73573467629161e-002
1.17760597352080e+003	3.10844101021465e+001,-4.74665162707080e-002
1.18032063565173e+003	3.10844097863110e+001,-4.75759374369830e-002
1.18304155572516e+003	3.10844094690451e+001,-4.76856108420286e-002
1.18576874816716e+003	3.10844091502832e+001,-4.77955370671172e-002
1.18850222743701e+003	3.10844088300652e+001,-4.79057166951778e-002
